,1,2,3,4,5,collected,annotated
134,F20_20_B,M20,S40_40_B,Screwdriver,Wrench,,
135,F20_20_B,M20,S40_40_B,Spacer,Wrench,,
136,F20_20_B,M20,S40_40_G,Screwdriver,Spacer,,
137,F20_20_B,M20,S40_40_G,Screwdriver,Wrench,,
138,F20_20_B,M20,S40_40_G,Spacer,Wrench,,
139,F20_20_B,M20,Screwdriver,Spacer,Wrench,,
140,F20_20_B,M20_100,M30,Motor2,S40_40_B,,
141,F20_20_B,M20_100,M30,Motor2,S40_40_G,,
142,F20_20_B,M20_100,M30,Motor2,Screwdriver,,
143,F20_20_B,M20_100,M30,Motor2,Spacer,,
144,F20_20_B,M20_100,M30,Motor2,Wrench,,
145,F20_20_B,M20_100,M30,S40_40_B,S40_40_G,,
146,F20_20_B,M20_100,M30,S40_40_B,Screwdriver,,
147,F20_20_B,M20_100,M30,S40_40_B,Spacer,,
148,F20_20_B,M20_100,M30,S40_40_B,Wrench,,
149,F20_20_B,M20_100,M30,S40_40_G,Screwdriver,,
150,F20_20_B,M20_100,M30,S40_40_G,Spacer,,
151,F20_20_B,M20_100,M30,S40_40_G,Wrench,,
152,F20_20_B,M20_100,M30,Screwdriver,Spacer,,
153,F20_20_B,M20_100,M30,Screwdriver,Wrench,,
154,F20_20_B,M20_100,M30,Spacer,Wrench,,
155,F20_20_B,M20_100,Motor2,S40_40_B,S40_40_G,,
156,F20_20_B,M20_100,Motor2,S40_40_B,Screwdriver,,
157,F20_20_B,M20_100,Motor2,S40_40_B,Spacer,,
158,F20_20_B,M20_100,Motor2,S40_40_B,Wrench,,
159,F20_20_B,M20_100,Motor2,S40_40_G,Screwdriver,,
160,F20_20_B,M20_100,Motor2,S40_40_G,Spacer,,
161,F20_20_B,M20_100,Motor2,S40_40_G,Wrench,,
162,F20_20_B,M20_100,Motor2,Screwdriver,Spacer,,
163,F20_20_B,M20_100,Motor2,Screwdriver,Wrench,,
164,F20_20_B,M20_100,Motor2,Spacer,Wrench,,
165,F20_20_B,M20_100,S40_40_B,S40_40_G,Screwdriver,,
166,F20_20_B,M20_100,S40_40_B,S40_40_G,Spacer,,
167,F20_20_B,M20_100,S40_40_B,S40_40_G,Wrench,,
168,F20_20_B,M20_100,S40_40_B,Screwdriver,Spacer,,
169,F20_20_B,M20_100,S40_40_B,Screwdriver,Wrench,,
170,F20_20_B,M20_100,S40_40_B,Spacer,Wrench,,
171,F20_20_B,M20_100,S40_40_G,Screwdriver,Spacer,,
172,F20_20_B,M20_100,S40_40_G,Screwdriver,Wrench,,
173,F20_20_B,M20_100,S40_40_G,Spacer,Wrench,,
174,F20_20_B,M20_100,Screwdriver,Spacer,Wrench,,
175,F20_20_B,M30,Motor2,S40_40_B,S40_40_G,,
176,F20_20_B,M30,Motor2,S40_40_B,Screwdriver,,
177,F20_20_B,M30,Motor2,S40_40_B,Spacer,,
178,F20_20_B,M30,Motor2,S40_40_B,Wrench,,
179,F20_20_B,M30,Motor2,S40_40_G,Screwdriver,,
180,F20_20_B,M30,Motor2,S40_40_G,Spacer,,
181,F20_20_B,M30,Motor2,S40_40_G,Wrench,,
182,F20_20_B,M30,Motor2,Screwdriver,Spacer,,
183,F20_20_B,M30,Motor2,Screwdriver,Wrench,,
184,F20_20_B,M30,Motor2,Spacer,Wrench,,
185,F20_20_B,M30,S40_40_B,S40_40_G,Screwdriver,,
186,F20_20_B,M30,S40_40_B,S40_40_G,Spacer,,
187,F20_20_B,M30,S40_40_B,S40_40_G,Wrench,,
188,F20_20_B,M30,S40_40_B,Screwdriver,Spacer,,
189,F20_20_B,M30,S40_40_B,Screwdriver,Wrench,,
190,F20_20_B,M30,S40_40_B,Spacer,Wrench,,
191,F20_20_B,M30,S40_40_G,Screwdriver,Spacer,,
192,F20_20_B,M30,S40_40_G,Screwdriver,Wrench,,
193,F20_20_B,M30,S40_40_G,Spacer,Wrench,,
194,F20_20_B,M30,Screwdriver,Spacer,Wrench,,
195,F20_20_B,Motor2,S40_40_B,S40_40_G,Screwdriver,,
196,F20_20_B,Motor2,S40_40_B,S40_40_G,Spacer,,
197,F20_20_B,Motor2,S40_40_B,S40_40_G,Wrench,,
198,F20_20_B,Motor2,S40_40_B,Screwdriver,Spacer,,
199,F20_20_B,Motor2,S40_40_B,Screwdriver,Wrench,,
200,F20_20_B,Motor2,S40_40_B,Spacer,Wrench,,
201,F20_20_B,Motor2,S40_40_G,Screwdriver,Spacer,,
202,F20_20_B,Motor2,S40_40_G,Screwdriver,Wrench,,
203,F20_20_B,Motor2,S40_40_G,Spacer,Wrench,,
204,F20_20_B,Motor2,Screwdriver,Spacer,Wrench,,
205,F20_20_B,S40_40_B,S40_40_G,Screwdriver,Spacer,,
206,F20_20_B,S40_40_B,S40_40_G,Screwdriver,Wrench,,
207,F20_20_B,S40_40_B,S40_40_G,Spacer,Wrench,,
208,F20_20_B,S40_40_B,Screwdriver,Spacer,Wrench,,
209,F20_20_B,S40_40_G,Screwdriver,Spacer,Wrench,,
210,F20_20_G,M20,M20_100,M30,Motor2,,
211,F20_20_G,M20,M20_100,M30,S40_40_B,,
212,F20_20_G,M20,M20_100,M30,S40_40_G,,
213,F20_20_G,M20,M20_100,M30,Screwdriver,,
214,F20_20_G,M20,M20_100,M30,Spacer,,
215,F20_20_G,M20,M20_100,M30,Wrench,,
216,F20_20_G,M20,M20_100,Motor2,S40_40_B,,
217,F20_20_G,M20,M20_100,Motor2,S40_40_G,,
218,F20_20_G,M20,M20_100,Motor2,Screwdriver,,
219,F20_20_G,M20,M20_100,Motor2,Spacer,,
220,F20_20_G,M20,M20_100,Motor2,Wrench,,
221,F20_20_G,M20,M20_100,S40_40_B,S40_40_G,,
222,F20_20_G,M20,M20_100,S40_40_B,Screwdriver,,
223,F20_20_G,M20,M20_100,S40_40_B,Spacer,,
224,F20_20_G,M20,M20_100,S40_40_B,Wrench,,
225,F20_20_G,M20,M20_100,S40_40_G,Screwdriver,,
226,F20_20_G,M20,M20_100,S40_40_G,Spacer,,
227,F20_20_G,M20,M20_100,S40_40_G,Wrench,,
228,F20_20_G,M20,M20_100,Screwdriver,Spacer,,
229,F20_20_G,M20,M20_100,Screwdriver,Wrench,,
230,F20_20_G,M20,M20_100,Spacer,Wrench,,
231,F20_20_G,M20,M30,Motor2,S40_40_B,,
232,F20_20_G,M20,M30,Motor2,S40_40_G,,
233,F20_20_G,M20,M30,Motor2,Screwdriver,,
234,F20_20_G,M20,M30,Motor2,Spacer,,
235,F20_20_G,M20,M30,Motor2,Wrench,,
236,F20_20_G,M20,M30,S40_40_B,S40_40_G,,
237,F20_20_G,M20,M30,S40_40_B,Screwdriver,,
238,F20_20_G,M20,M30,S40_40_B,Spacer,,
239,F20_20_G,M20,M30,S40_40_B,Wrench,,
240,F20_20_G,M20,M30,S40_40_G,Screwdriver,,
241,F20_20_G,M20,M30,S40_40_G,Spacer,,
242,F20_20_G,M20,M30,S40_40_G,Wrench,,
243,F20_20_G,M20,M30,Screwdriver,Spacer,,
244,F20_20_G,M20,M30,Screwdriver,Wrench,,
245,F20_20_G,M20,M30,Spacer,Wrench,,
246,F20_20_G,M20,Motor2,S40_40_B,S40_40_G,,
247,F20_20_G,M20,Motor2,S40_40_B,Screwdriver,,
248,F20_20_G,M20,Motor2,S40_40_B,Spacer,,
249,F20_20_G,M20,Motor2,S40_40_B,Wrench,,
250,F20_20_G,M20,Motor2,S40_40_G,Screwdriver,,
251,F20_20_G,M20,Motor2,S40_40_G,Spacer,,
252,F20_20_G,M20,Motor2,S40_40_G,Wrench,,
253,F20_20_G,M20,Motor2,Screwdriver,Spacer,,
254,F20_20_G,M20,Motor2,Screwdriver,Wrench,,
255,F20_20_G,M20,Motor2,Spacer,Wrench,,
256,F20_20_G,M20,S40_40_B,S40_40_G,Screwdriver,,
257,F20_20_G,M20,S40_40_B,S40_40_G,Spacer,,
258,F20_20_G,M20,S40_40_B,S40_40_G,Wrench,,
259,F20_20_G,M20,S40_40_B,Screwdriver,Spacer,,
260,F20_20_G,M20,S40_40_B,Screwdriver,Wrench,,
261,F20_20_G,M20,S40_40_B,Spacer,Wrench,,
262,F20_20_G,M20,S40_40_G,Screwdriver,Spacer,,
263,F20_20_G,M20,S40_40_G,Screwdriver,Wrench,,
264,F20_20_G,M20,S40_40_G,Spacer,Wrench,,
265,F20_20_G,M20,Screwdriver,Spacer,Wrench,,
266,F20_20_G,M20_100,M30,Motor2,S40_40_B,,
267,F20_20_G,M20_100,M30,Motor2,S40_40_G,,
268,F20_20_G,M20_100,M30,Motor2,Screwdriver,,
269,F20_20_G,M20_100,M30,Motor2,Spacer,,
270,F20_20_G,M20_100,M30,Motor2,Wrench,,
271,F20_20_G,M20_100,M30,S40_40_B,S40_40_G,,
272,F20_20_G,M20_100,M30,S40_40_B,Screwdriver,,
273,F20_20_G,M20_100,M30,S40_40_B,Spacer,,
274,F20_20_G,M20_100,M30,S40_40_B,Wrench,,
275,F20_20_G,M20_100,M30,S40_40_G,Screwdriver,,
276,F20_20_G,M20_100,M30,S40_40_G,Spacer,,
277,F20_20_G,M20_100,M30,S40_40_G,Wrench,,
278,F20_20_G,M20_100,M30,Screwdriver,Spacer,,
279,F20_20_G,M20_100,M30,Screwdriver,Wrench,,
280,F20_20_G,M20_100,M30,Spacer,Wrench,,
281,F20_20_G,M20_100,Motor2,S40_40_B,S40_40_G,,
282,F20_20_G,M20_100,Motor2,S40_40_B,Screwdriver,,
283,F20_20_G,M20_100,Motor2,S40_40_B,Spacer,,
284,F20_20_G,M20_100,Motor2,S40_40_B,Wrench,,
285,F20_20_G,M20_100,Motor2,S40_40_G,Screwdriver,,
286,F20_20_G,M20_100,Motor2,S40_40_G,Spacer,,
287,F20_20_G,M20_100,Motor2,S40_40_G,Wrench,,
288,F20_20_G,M20_100,Motor2,Screwdriver,Spacer,,
289,F20_20_G,M20_100,Motor2,Screwdriver,Wrench,,
