,1,2,3,4,5,collected,annotated,,,,,,,
199,AllenKey,F20_20_G,Housing,M30,S40_40_G,,,,,,,,,
200,AllenKey,F20_20_G,Housing,S40_40_B,S40_40_G,,,,,,,,,
201,AllenKey,F20_20_G,M20,M30,S40_40_B,,,,,,,,,
202,AllenKey,F20_20_G,M20,M30,S40_40_G,,,,,,,,,
203,AllenKey,F20_20_G,M20,S40_40_B,S40_40_G,,,,,,,,,
204,AllenKey,F20_20_G,M30,S40_40_B,S40_40_G,,,,,,,,,
205,AllenKey,Housing,M20,M30,S40_40_B,,,,,,,,,
206,AllenKey,Housing,M20,M30,S40_40_G,,,,,,,,,
207,AllenKey,Housing,M20,S40_40_B,S40_40_G,,,,,,,,,
208,AllenKey,Housing,M30,S40_40_B,S40_40_G,,,,,,,,,
209,AllenKey,M20,M30,S40_40_B,S40_40_G,,,,,,,,,
210,Axis2,Bearing2,Drill,F20_20_B,F20_20_G,,,,,,,,,
211,Axis2,Bearing2,Drill,F20_20_B,Housing,,,,,,,,,
212,Axis2,Bearing2,Drill,F20_20_B,M20,,,,,,,,,
213,Axis2,Bearing2,Drill,F20_20_B,M30,,,,,,,,,
214,Axis2,Bearing2,Drill,F20_20_B,S40_40_B,,,,,,,,,
215,Axis2,Bearing2,Drill,F20_20_B,S40_40_G,,,,,,,,,
216,Axis2,Bearing2,Drill,F20_20_G,Housing,,,,,,,,,
217,Axis2,Bearing2,Drill,F20_20_G,M20,,,,,,,,,
218,Axis2,Bearing2,Drill,F20_20_G,M30,,,,,,,,,
219,Axis2,Bearing2,Drill,F20_20_G,S40_40_B,,,,,,,,,
220,Axis2,Bearing2,Drill,F20_20_G,S40_40_G,,,,,,,,,
221,Axis2,Bearing2,Drill,Housing,M20,,,,,,,,,
222,Axis2,Bearing2,Drill,Housing,M30,,,,,,,,,
223,Axis2,Bearing2,Drill,Housing,S40_40_B,,,,,,,,,
224,Axis2,Bearing2,Drill,Housing,S40_40_G,,,,,,,,,
225,Axis2,Bearing2,Drill,M20,M30,,,,,,,,,
226,Axis2,Bearing2,Drill,M20,S40_40_B,,,,,,,,,
227,Axis2,Bearing2,Drill,M20,S40_40_G,,,,,,,,,
228,Axis2,Bearing2,Drill,M30,S40_40_B,,,,,,,,,
229,Axis2,Bearing2,Drill,M30,S40_40_G,,,,,,,,,
230,Axis2,Bearing2,Drill,S40_40_B,S40_40_G,,,,,,,,,
231,Axis2,Bearing2,F20_20_B,F20_20_G,Housing,,,,,,,,,
232,Axis2,Bearing2,F20_20_B,F20_20_G,M20,,,,,,,,,
233,Axis2,Bearing2,F20_20_B,F20_20_G,M30,,,,,,,,,
234,Axis2,Bearing2,F20_20_B,F20_20_G,S40_40_B,,,,,,,,,
235,Axis2,Bearing2,F20_20_B,F20_20_G,S40_40_G,,,,,,,,,
236,Axis2,Bearing2,F20_20_B,Housing,M20,,,,,,,,,
237,Axis2,Bearing2,F20_20_B,Housing,M30,,,,,,,,,
238,Axis2,Bearing2,F20_20_B,Housing,S40_40_B,,,,,,,,,
239,Axis2,Bearing2,F20_20_B,Housing,S40_40_G,,,,,,,,,
240,Axis2,Bearing2,F20_20_B,M20,M30,,,,,,,,,
241,Axis2,Bearing2,F20_20_B,M20,S40_40_B,,,,,,,,,
242,Axis2,Bearing2,F20_20_B,M20,S40_40_G,,,,,,,,,
243,Axis2,Bearing2,F20_20_B,M30,S40_40_B,,,,,,,,,
244,Axis2,Bearing2,F20_20_B,M30,S40_40_G,,,,,,,,,
245,Axis2,Bearing2,F20_20_B,S40_40_B,S40_40_G,,,,,,,,,
246,Axis2,Bearing2,F20_20_G,Housing,M20,,,,,,,,,
247,Axis2,Bearing2,F20_20_G,Housing,M30,,,,,,,,,
248,Axis2,Bearing2,F20_20_G,Housing,S40_40_B,,,,,,,,,
249,Axis2,Bearing2,F20_20_G,Housing,S40_40_G,,,,,,,,,
250,Axis2,Bearing2,F20_20_G,M20,M30,,,,,,,,,
251,Axis2,Bearing2,F20_20_G,M20,S40_40_B,,,,,,,,,
252,Axis2,Bearing2,F20_20_G,M20,S40_40_G,,,,,,,,,
253,Axis2,Bearing2,F20_20_G,M30,S40_40_B,,,,,,,,,
254,Axis2,Bearing2,F20_20_G,M30,S40_40_G,,,,,,,,,
255,Axis2,Bearing2,F20_20_G,S40_40_B,S40_40_G,,,,,,,,,
256,Axis2,Bearing2,Housing,M20,M30,,,,,,,,,
257,Axis2,Bearing2,Housing,M20,S40_40_B,,,,,,,,,
258,Axis2,Bearing2,Housing,M20,S40_40_G,,,,,,,,,
259,Axis2,Bearing2,Housing,M30,S40_40_B,,,,,,,,,
260,Axis2,Bearing2,Housing,M30,S40_40_G,,,,,,,,,
261,Axis2,Bearing2,Housing,S40_40_B,S40_40_G,,,,,,,,,
262,Axis2,Bearing2,M20,M30,S40_40_B,,,,,,,,,
263,Axis2,Bearing2,M20,M30,S40_40_G,,,,,,,,,
264,Axis2,Bearing2,M20,S40_40_B,S40_40_G,,,,,,,,,
265,Axis2,Bearing2,M30,S40_40_B,S40_40_G,,,,,,,,,
266,Axis2,Drill,F20_20_B,F20_20_G,Housing,,,,,,,,,
267,Axis2,Drill,F20_20_B,F20_20_G,M20,,,,,,,,,
268,Axis2,Drill,F20_20_B,F20_20_G,M30,,,,,,,,,
269,Axis2,Drill,F20_20_B,F20_20_G,S40_40_B,,,,,,,,,
270,Axis2,Drill,F20_20_B,F20_20_G,S40_40_G,,,,,,,,,
271,Axis2,Drill,F20_20_B,Housing,M20,,,,,,,,,
272,Axis2,Drill,F20_20_B,Housing,M30,,,,,,,,,
273,Axis2,Drill,F20_20_B,Housing,S40_40_B,,,,,,,,,
274,Axis2,Drill,F20_20_B,Housing,S40_40_G,,,,,,,,,
275,Axis2,Drill,F20_20_B,M20,M30,,,,,,,,,
276,Axis2,Drill,F20_20_B,M20,S40_40_B,,,,,,,,,
277,Axis2,Drill,F20_20_B,M20,S40_40_G,,,,,,,,,
278,Axis2,Drill,F20_20_B,M30,S40_40_B,,,,,,,,,
279,Axis2,Drill,F20_20_B,M30,S40_40_G,,,,,,,,,
280,Axis2,Drill,F20_20_B,S40_40_B,S40_40_G,,,,,,,,,
281,Axis2,Drill,F20_20_G,Housing,M20,,,,,,,,,
282,Axis2,Drill,F20_20_G,Housing,M30,,,,,,,,,
283,Axis2,Drill,F20_20_G,Housing,S40_40_B,,,,,,,,,
284,Axis2,Drill,F20_20_G,Housing,S40_40_G,,,,,,,,,
285,Axis2,Drill,F20_20_G,M20,M30,,,,,,,,,
286,Axis2,Drill,F20_20_G,M20,S40_40_B,,,,,,,,,
287,Axis2,Drill,F20_20_G,M20,S40_40_G,,,,,,,,,
288,Axis2,Drill,F20_20_G,M30,S40_40_B,,,,,,,,,
289,Axis2,Drill,F20_20_G,M30,S40_40_G,,,,,,,,,
290,Axis2,Drill,F20_20_G,S40_40_B,S40_40_G,,,,,,,,,
291,Axis2,Drill,Housing,M20,M30,,,,,,,,,
292,Axis2,Drill,Housing,M20,S40_40_B,,,,,,,,,
293,Axis2,Drill,Housing,M20,S40_40_G,,,,,,,,,
294,Axis2,Drill,Housing,M30,S40_40_B,,,,,,,,,
295,Axis2,Drill,Housing,M30,S40_40_G,,,,,,,,,
296,Axis2,Drill,Housing,S40_40_B,S40_40_G,,,,,,,,,
297,Axis2,Drill,M20,M30,S40_40_B,,,,,,,,,
298,Axis2,Drill,M20,M30,S40_40_G,,,,,,,,,
299,Axis2,Drill,M20,S40_40_B,S40_40_G,,,,,,,,,
300,Axis2,Drill,M30,S40_40_B,S40_40_G,,,,,,,,,
301,Axis2,F20_20_B,F20_20_G,Housing,M20,,,,,,,,,
302,Axis2,F20_20_B,F20_20_G,Housing,M30,,,,,,,,,
303,Axis2,F20_20_B,F20_20_G,Housing,S40_40_B,,,,,,,,,
304,Axis2,F20_20_B,F20_20_G,Housing,S40_40_G,,,,,,,,,
305,Axis2,F20_20_B,F20_20_G,M20,M30,,,,,,,,,
306,Axis2,F20_20_B,F20_20_G,M20,S40_40_B,,,,,,,,,
307,Axis2,F20_20_B,F20_20_G,M20,S40_40_G,,,,,,,,,
308,Axis2,F20_20_B,F20_20_G,M30,S40_40_B,1,,0,Comment:,Images,,Plain,Plain+Decoy,Surface+Decoy
309,Axis2,F20_20_B,F20_20_G,M30,S40_40_G,1,,1,,40,15cm,20,10,10
310,Axis2,F20_20_B,F20_20_G,S40_40_B,S40_40_G,1,,2,,40,10cm,,,
311,Axis2,F20_20_B,Housing,M20,M30,1,,3,,40,5cm,,`,
312,Axis2,F20_20_B,Housing,M20,S40_40_B,1,,4,,16,"RTT, all decoy",,,
313,Axis2,F20_20_B,Housing,M20,S40_40_G,1,,5,,16,Shelf,,,
314,Axis2,F20_20_B,Housing,M30,S40_40_B,1,,6,,12,plain,,,
315,Axis2,F20_20_B,Housing,M30,S40_40_G,1,,7,,,,,,
316,Axis2,F20_20_B,Housing,S40_40_B,S40_40_G,1,,8,,,,,,
317,Axis2,F20_20_B,M20,M30,S40_40_B,1,,9,,,,,,
318,Axis2,F20_20_B,M20,M30,S40_40_G,1,,10,,,,,,
319,Axis2,F20_20_B,M20,S40_40_B,S40_40_G,1,,11,,,,,,
320,Axis2,F20_20_B,M30,S40_40_B,S40_40_G,1,,12,,,,,,
321,Axis2,F20_20_B,Housing,M20,M30,1,,13,,,,,,
322,Axis2,F20_20_B,Housing,M20,S40_40_B,1,,14,,,,,,
323,Axis2,F20_20_B,Housing,M20,S40_40_G,1,,15,,,,,,
324,Axis2,F20_20_B,Housing,M30,S40_40_B,1,,16,,,,,,
325,Axis2,F20_20_B,Housing,M30,S40_40_G,1,,17,,,,,,
326,Axis2,F20_20_B,Housing,S40_40_B,S40_40_G,1,,18,,,,,,
